date,DAI Supply,Max DAI Supply,ETH Freed from CDPs that are still open,ETH Freed from completely closed CDPs,Locks volume ETH,"Stability Fee Paid, ETH",closed CDPs,1 - 7 days WIPES,30 - 365 days WIPES,7 - 30 days WIPES,less than 1 day WIPES,more than 365 days WIPES,"Locked in CDPs, ETH"
2018-05-18,37238415.0221179,50000000,0,150.645547861326,612.410186609395,0,1,0,173.53303527832,5.07124328613281,0,8.86816215515137,185005.929752248
2018-05-19,37566180.2133999,50000000,0,206.0715375494,875.72581857215,0,5,5.73894453737012E-07,8.92983150482178,1.77546393871307,0,7.14515352249146,185669.332733713
2018-05-20,37606173.5462966,50000000,1.85,87.1469635190109,119.742981763473,0,2,0,34.1215171813965,11.5918064117432,0,0.974193513393402,185696.709600597
2018-05-21,37711880.4876344,50000000,0,10.9759796200025,516.074471727025,0,1,0,2.71353578567505,7.43827199935913,1.16635048389435,0,186201.577489172
2018-05-22,37942873.5119126,50000000,0,18,2258.44145723747,0,2,0,70.2385559082031,19.2918968200684,0,0,188418.819484234
2018-05-23,36219538.5543313,50000000,0,10979.4504479934,6280.90196917388,0,5,0,295.805603027344,3885.8740234375,6.89444446563721,5.09217596054077,183327.978117976
2018-05-24,36448524.0627814,50000000,157.089,185.1768116355,2431.6334470819,0,7,0,141.90625,45.2377967834473,0.089344903826714,0,184794.997508728
2018-05-25,36891847.9144669,50000000,0,379.487729630173,1640.17464114541,0,6,0.008538329042494,98.7426223754883,17.0700798034668,0.409937560558319,0.289157927036285,186049.260052642
2018-05-26,37072544.1994669,50000000,0,152,1233.25807110898,0,2,1.67451119422913,0.918829381465912,93.8396072387695,0.083725556731224,0,187128.169823341
2018-05-27,37321564.4515715,50000000,98.8364633895996,155.523994604008,3421.20337345907,0,3,0,34.5782012939453,0,0,0,190275.600503918
2018-05-28,37862890.4050719,50000000,44.0823625595903,276.128221371627,6981.99101789779,0,8,38.1098365783691,329.719604492188,69.1090698242188,0.014366240240634,0.201278984546661,196643.574961613
2018-05-29,40335323.5244056,50000000,0.098710114867736,127.480716771331,11288.5016916112,0,6,0,173.063873291016,1.00358211994171,9.17989349365234,0,207800.881512971
2018-05-30,40405623.9571741,50000000,0,25.9170961739748,448.242374601579,0.005161061248606,4,14.8331422805786,5.32309293746948,0,0.210018515586853,0,208213.983017603
2018-05-31,41025276.6913362,50000000,0,14.612,2169.97447721944,0.005521249282137,2,0,4.70670032501221,47.6407203674316,0.761863708496094,0,210300.828805354
2018-06-01,40957452.5500876,50000000,0,166.620632829176,159.786751116871,0.04448289462366,2,0,81.9594497680664,49.2430610656738,0,27.9069423675537,210285.035422313
2018-06-02,41232355.2165066,50000000,0,112.641809996124,1027.86980513013,0.033730220895722,2,2.10994863510132,61.4684829711914,17.0930995941162,0,0,211195.35130206
2018-06-03,41351004.6242366,50000000,0,97.7081669943521,229.02627992871,0.028201718334082,3,0,36.2536468505859,9.9278564453125,0.354249000549316,40.1881828308106,211087.057383423
2018-06-04,41497337.8439413,50000000,0.055287657812163,23.98,751.770328701458,0.025483588323478,5,0,49.2238159179688,17.1448154449463,1.15390706062317,0,211799.313557738
2018-06-05,41614558.5604571,50000000,0,208.031158649396,447.679367956198,0.019287662004924,4,0.564512073993683,65.2789306640625,5.17860984802246,0.584336400032043,0.291885942220688,212033.302735856
2018-06-06,42054752.8148535,50000000,61.2112299764367,328.474395878502,1543.88184291674,0.129758775908293,4,2.26732969284058,222.106689453125,73.7763748168945,0,0,213144.879909175
2018-06-07,42228272.0815055,50000000,0,51.014,770.44214090986,5.07880031341488E-05,1,0,0.307257324457169,0,0,0,213863.244699426
