__timestamp,Minted DAI,Burnt DAI,Total Supply
2019-05-22,315747889.4801228,234757109.81619647,80990779.66392633
2019-05-21,315246380.3116064,234365821.8307721,80880558.4808343
2019-05-20,314167620.30054295,233231784.05732936,80935836.2432136
2019-05-19,313337404.00638455,231914179.44516888,81423224.56121567
2019-05-18,312237545.59467,231195913.04796863,81041632.54670137
2019-05-17,311894471.40671223,230757995.60674277,81136475.79996946
2019-05-16,310190660.575481,229805551.89052477,80385108.68495622
2019-05-15,307555819.7793312,223515563.270596,84040256.50873521
2019-05-14,305514804.78027433,220061967.79886773,85452836.9814066
2019-05-13,304291114.47044784,219354813.48854923,84936300.9818986
2019-05-12,302463848.31063026,218077085.27015162,84386763.04047865
2019-05-11,300474147.7798453,217446084.2645252,83028063.51532009
2019-05-10,298194738.0878946,215850178.5943374,82344559.49355721
2019-05-09,298002861.8318029,215461753.45061666,82541108.38118625
2019-05-08,297568919.5535061,215334844.939265,82234074.61424106
2019-05-07,296975399.7027789,214871600.22343537,82103799.4793435
2019-05-06,296659117.64185536,214361504.1721512,82297613.46970415
2019-05-05,296498842.97957677,213546453.73718977,82952389.242387
2019-05-04,296416972.82671356,213308297.03091106,83108675.7958025
2019-05-03,296230219.68757474,212937072.60309905,83293147.0844757
2019-05-02,296020843.9962981,212341683.1078696,83679160.88842848
2019-05-01,295915947.4995768,212063411.51638466,83852535.98319215
2019-04-30,295713241.3158225,211623725.0890131,84089516.22680938
2019-04-29,295412341.1578611,211190256.7472008,84222084.41066033
2019-04-28,295240220.98106277,210546952.22002557,84693268.7610372
2019-04-27,295117803.6758128,210332433.7597608,84785369.91605198
2019-04-26,294864264.4833646,209473291.389005,85390973.09435958
2019-04-25,294200271.8270767,208063628.5542073,86136643.27286938
2019-04-24,293915577.29956096,206230571.82907552,87685005.47048545
2019-04-23,293745764.4471542,205888111.11023593,87857653.3369183
2019-04-22,293245782.9251643,205500763.03142163,87745019.89374265
2019-04-21,292973330.1092166,205107254.7913569,87866075.31785968
2019-04-20,292820302.1092166,204940410.89586928,87879891.21334729
2019-04-19,292710868.1589913,204086277.1369251,88624591.02206618
2019-04-18,292412596.16099125,202747676.73431575,89664919.4266755
2019-04-17,292066972.36176133,201462095.09972867,90604877.26203266
2019-04-16,291203594.93106526,201305920.13613153,89897674.79493374
2019-04-15,291040207.40062684,200920806.64944583,90119400.751181
2019-04-14,290625126.93023,198438824.34941745,92186302.58081257
2019-04-13,289802419.41526735,196726695.36361378,93075724.05165356
2019-04-12,289426671.3245297,196284592.02459875,93142079.29993096
2019-04-11,288538094.4375965,195716353.30510518,92821741.13249132
2019-04-10,287996424.96766675,194359518.73694366,93636906.23072308
2019-04-09,286489303.16502124,192822992.83770406,93666310.32731718
2019-04-08,285578926.05889624,192596175.8349623,92982750.22393394
2019-04-07,283411627.2904555,191140562.00487098,92271065.28558454
2019-04-06,281484942.20208323,190709978.32819074,90774963.87389249
2019-04-05,280893448.4848347,190484116.54111743,90409331.94371724
2019-04-04,279230548.29201615,190214464.70335913,89016083.58865702
2019-04-03,277387764.1703609,189555723.9591987,87832040.21116221
2019-04-02,275057072.99483705,188692431.12347472,86364641.87136233
2019-04-01,273481021.43590814,184679162.1803916,88801859.25551653
2019-03-31,272733140.73037094,184291032.53847012,88442108.19190082
2019-03-30,272596625.5841688,184183020.57062587,88413605.01354292
2019-03-29,271927588.60523,183698725.64745057,88228862.95777941
2019-03-28,271716468.6114082,183041659.66342485,88674808.94798332
2019-03-27,270601402.112759,182853345.85214648,87748056.26061252
2019-03-26,270469144.8629163,182545659.14555994,87923485.71735635
2019-03-25,270342481.9289163,182335162.16210312,88007319.76681316
2019-03-24,270175284.3204971,179862668.6503611,90312615.670136
2019-03-23,270085844.38818496,179296865.29678968,90788979.09139529
2019-03-22,269807840.9927787,178776249.6694516,91031591.32332712
2019-03-21,269598735.177985,176676375.6414386,92922359.53654641
2019-03-20,269331155.1947475,175303172.99090874,94027982.20383877
2019-03-19,269148115.3238307,173700701.9528191,95447413.37101161
2019-03-18,268530135.98302346,173100770.46393016,95429365.5190933
2019-03-17,268306700.01218656,173003884.0877538,95302815.92443275
2019-03-16,266346963.84434178,172744079.8850481,93602883.9592937
2019-03-15,265703115.3735607,172313817.62855276,93389297.74500793
2019-03-14,264797237.86990598,172072781.39510036,92724456.47480562
2019-03-13,264490375.02788106,171629919.77148834,92860455.25639272
2019-03-12,264153012.25668287,171480261.27265766,92672750.98402521
2019-03-11,263804784.281132,171229412.3426388,92575371.93849322
2019-03-10,263023159.14222488,171073903.12219873,91949256.02002615
2019-03-09,262727971.32122487,170933033.89503017,91794937.4261947
2019-03-08,262434585.46752506,170342307.99202022,92092277.47550485
2019-03-07,261881385.18929026,169766258.33020008,92115126.85909018
2019-03-06,261627204.336822,169215711.48565233,92411492.85116968
2019-03-05,260446256.57503486,169107209.71207854,91339046.86295632
2019-03-04,259467185.12020534,168731324.59980866,90735860.52039668
2019-03-03,257484959.67363974,167930378.2753137,89554581.39832604
2019-03-02,257141458.31341985,167544200.99505064,89597257.31836921
2019-03-01,256826695.88143733,167379471.02492094,89447224.85651639
2019-02-28,256279209.0240987,167298520.2121,88980688.8119987
2019-02-27,255447166.35841796,167078529.20650503,88368637.15191293
2019-02-26,255152114.88438937,166815342.70906422,88336772.17532516
2019-02-25,254736807.5924772,166756194.8512996,87980612.74117759
2019-02-24,253909112.5787336,166034581.5118174,87874531.0669162
2019-02-23,249577341.55439702,164651694.7975453,84925646.7568517
2019-02-22,248588799.75976053,164488964.53735837,84099835.22240216
2019-02-21,245827707.1963428,164401589.45035908,81426117.74598372
2019-02-20,244518153.77528632,163034593.4741172,81483560.30116913
2019-02-19,243222106.06121278,162789405.29119346,80432700.77001932
2019-02-18,242208030.90779403,162670737.98317912,79537292.9246149
2019-02-17,241301097.33751753,162292802.45758694,79008294.87993059
2019-02-16,240690645.2084592,162235047.03610882,78455598.17235038
2019-02-15,240484075.55645216,162187396.9494776,78296678.60697454
2019-02-14,240304143.20071715,162134327.77783456,78169815.42288259
2019-02-13,239926770.78023517,161914497.01099172,78012273.76924345
2019-02-12,239519166.41571406,161895372.43810493,77623793.97760913
